Row ID,MASTER ID,Date,Cap time,Release Time,Run #,Observer (Marking),Observer (Data),Fence Observer(s),Pond #,Trap #,Direction of Travel,REC/CAP,1st Capture of Year,Season First Captured,prob with season first cap,Age,Sex,Gravid?,MS222?,%,Volume disp,Weight,TL,SVL_1stMeasurement,SVL_2ndMeasurement,SVL_3rdMeasurement,Toe Clip,Vial #,Mark Start,Mark End,VIE Combo,Marking Method (PIT VIA VIE),New VIE Combo,Code,New PIT code,Batch Mark,New Batch Mark,Camera ID (initials),Corrected Photo Filename,Camera Photo File,Photo file names updated,Anesthesia Start,Anesthesia End,H2O time,Recovery time,Marks or Abnormalities,Comments,Proofed,Annotations from Proofing,Night
1,1,11/4/2010,1:28:00 AM,,,"SCR, BKR",,,4,1,IN,CAP,Y,1,No,A,F,U,No,,,2,110.9,55.75,,,Yes,VIAL 1,2:00,2:03,RRRX,VIE,No,,No,,No,,RRRX_11-04-10 (1),676,,,,,,,,Yes,,
2,2,11/4/2010,1:28:00 AM,,,,"SCR, BKR",,4,1,IN,CAP,Y,1,No,A,F,U,No,,,8.1,95.78,55.95,,,No,No toe,2:20,2:25,RXXX,VIE,No,,No,,No,,RXXX_11-04-10 (1),682,,,,,,,,Yes,,
3,3,11/4/2010,1:28:00 AM,,,,"SCR, BKR",,4,1,IN,CAP,Y,1,No,A,M,N/A,No,,,5,111.38,63.7,,,Yes,VIAL 2,3:08,3:14,RRXR,VIE,No,,No,,No,,RRXR_11-04-10 (1),684,,,,,,,,Yes,,
4,4,11/4/2010,1:28:00 AM,,,,"SCR, BKR",,4,1,IN,CAP,Y,1,No,J,U,N/A,No,,,2,68.98,43.95,,,Yes,VIAL 3,3:15,3:17,RROX,VIE,No,,No,,No,,RROX_11-04-10 (1),688,,,,,,,,Yes,,
5,5,11/4/2010,3:20:00 AM,,,,"BKR,SCR, KCJ",,4,5,IN,CAP,Y,1,No,A,M,N/A,No,,,3.75,106.7,55.88,,,Yes,VIAL 4,3:22,3:23,RRXO,VIE,No,,No,,No,,RRXO_11-04-10 (1),689,,,,,,,,Yes,,
6,6,11/4/2010,3:40:00 AM,,,,"BKR,SCR, KCJ",,4,7,IN,CAP,Y,1,No,J,U,N/A,No,,,1,64.04,35.75,,,Yes,VIAL 5,3:43,3:45,XRRO,VIE,No,,No,,No,,XRRO_11-04-10 (1),691,,,,,,,,Yes,,
7,7,11/4/2010,3:40:00 AM,,,,"BKR,SCR, KCJ",,4,7,IN,CAP,Y,1,No,A,F,U,No,,,9,109.84,64.26,,,Yes,VIAL 7,3:45,3:47,RORX,VIE,No,,No,,No,,NO PHOTO,,,,,,,,Same combo is used in another capture,Yes,Duplicated VIE code,
8,8,11/4/2010,3:40:00 AM,,,,"BKR,SCR, KCJ",,4,7,IN,CAP,Y,1,No,A,M,N/A,No,,,6.5,118.71,65.66,,,Yes,VIAL 6,3:48,3:53,RXR&OO,VIE,No,,No,,No,,RXRO_11-04-10 (1),692,,,,,,,Mark 3 double marked,Yes,,
9,9,11/4/2010,3:40:00 AM,,,,"BKR,SCR, KCJ",,4,7,IN,CAP,Y,1,No,A,F,U,No,,,9,119.02,64.05,,,Yes,VIAL 8,4:07,4:09,ROXR,VIE,No,,No,,No,,NO PHOTO,,,,,,,,,Yes,,
10,10,11/4/2010,3:40:00 AM,,,,"BKR,SCR, KCJ",,4,7,IN,CAP,Y,1,No,A,F,U,No,,,7.5,116.86,61.98,,,Yes,VIAL 9,4:12,4:16,RXOR,VIE,No,,No,,No,,RXOR_11-04-10 (1),694,,,,,,,,Yes,,
